R4_12_47_1_xfmr_122:House-1-vehicle1,5.0836,0,10.4318,0
R4_12_47_1_xfmr_122:House-1-vehicle2,0,0,0,35.5309
R4_12_47_1_xfmr_123:House-1-vehicle1,49.6779,0,0,0
R4_12_47_1_xfmr_123:House-1-vehicle2,0,18.9727,0,0
R4_12_47_1_xfmr_123:House-2-vehicle1,5.7322,0,0,3.1036
R4_12_47_1_xfmr_123:House-2-vehicle2,0,6.557,0,0
R4_12_47_1_xfmr_123:House-3-vehicle1,18.1519,0,20.8307,0
R4_12_47_1_xfmr_123:House-3-vehicle2,0,0,0,13.0334
R4_12_47_1_xfmr_123:House-4-vehicle1,66.4662,0,0,77.9594
R4_12_47_1_xfmr_123:House-4-vehicle2,0,23.7657,0,0
