HouseName,Forecasted_Load_kWh_ 1,Forecasted_Load_kWh_ 2,Forecasted_Load_kWh_ 3,Forecasted_Load_kWh_ 4,Forecasted_Load_kWh_ 5,Forecasted_Load_kWh_ 6,Forecasted_Load_kWh_ 7,Forecasted_Load_kWh_ 8,Forecasted_Load_kWh_ 9,Forecasted_Load_kWh_10,Forecasted_Load_kWh_11,Forecasted_Load_kWh_12,Forecasted_Load_kWh_13,Forecasted_Load_kWh_14,Forecasted_Load_kWh_15,Forecasted_Load_kWh_16,Forecasted_Load_kWh_17,Forecasted_Load_kWh_18,Forecasted_Load_kWh_19,Forecasted_Load_kWh_20,Forecasted_Load_kWh_21,Forecasted_Load_kWh_22,Forecasted_Load_kWh_23,Forecasted_Load_kWh_24
SX2673305B_1_house,1.93222680083333,1.65285016083333,1.54775338958333,1.53183766666667,1.49307191958333,0.96875,1.082,2.4206168325,4.44317158666667,3.24637784916667,3.94078607208333,3.95739288333333,3.30574600791667,3.98928486333334,3.98049136958333,4.6823742725,2.70632723333333,1.4195,1.52925,1.6095,1.70975,1.9245,2.045,1.7855
SX3048196B_1_house,1.089,0.8335,0.7,0.645,0.629333333333334,0.629333333333334,0.664833333333333,1.37974935,2.72827619333333,2.80153484916667,2.83891768041667,2.21659133333333,2.86090300791667,2.87927079666667,2.87693859458333,2.8786191725,2.88696676083333,3.59408865,2.95495092333333,1.0385,2.36571917541667,1.83327910833333,2.60967565,1.964392175
SX2991911C_1_house,0.987666666666667,0.763833333333333,0.674666666666667,0.632333333333334,0.629333333333334,1.17745926666667,1.26420535,2.01175336666667,3.35984612,2.80387784916667,2.83891768041667,2.84909721666667,2.19340866625,3.55333086333334,2.86996626125,2.8773411725,3.57478321083334,3.60675531666667,2.98198825666667,1.0575,3.03662533375,2.49598923625,2.62949644208333,1.28733333333333
SX2973158C_1_house,2.2047717675,0.350666666666667,0.884086722916667,0.314666666666667,0.87233846125,0.331916666666667,1.51929549916667,1.04658268333333,1.71215093333333,2.31990939833333,1.76485778333333,1.77409133333333,2.38274386583333,1.75610873,1.75676065291667,2.44866725583333,2.46443909416667,2.49073498333333,1.86669973333333,1.20769394166667,1.86979767541667,1.31280194166667,1.30167115833333,1.1547288655
SX3048208A_1_house,3.68436308416667,1.57918349416667,1.37189470833333,0.681333333333333,1.19333846125,1.17745926666667,1.21673435,1.88171141583333,2.63335398666667,2.14225316583333,2.20373678333333,2.84909721666667,2.86090300791667,2.23652813333333,2.88725430291667,2.87875058916667,2.8775296775,2.88740165,2.90469225666667,1.655527275,2.33255250875,2.35388936125,1.856009325,2.6152780405
SX3029502A_1_house,3.0426964175,1.11849545,0.403916666666667,0.933171,0.86923858625,0.314666666666667,0.895038683333334,1.51403349916667,2.26425819333333,1.72473003333333,2.38781780541667,2.37330743333333,2.41840300791667,1.79402813333333,2.41140940583333,2.44742450583333,2.44246676083333,2.44531831666667,2.44165492333333,1.15388344166667,1.17981799166667,1.80903490291667,1.84219148375,0.676166666666667
SX3029502A_2_house,1.34925,1.086,1.54675338958333,2.09028345,1.52559144166667,2.0953506,1.085,3.00507889833333,3.20509152666667,3.23934884916667,3.9007567025,3.99068266666667,3.30340300791667,3.31216879666667,3.335116825,4.64695021166667,3.39008835,4.75278296666667,4.19141712333333,2.27388344166667,3.64919900041667,3.83469130291667,3.28716310875,3.0229495405
SX3029502A_3_house,4.02737730166667,1.57152311666667,1.53372804166667,1.50244578333333,1.53692179458333,1.67997466666667,1.84155801666667,3.14419109916667,3.20210952666667,4.50516843166667,3.93897557208333,3.95739288333333,3.96266184958333,3.96803486333334,3.99192186958333,4.04506605583334,4.77401332166667,4.90502565,4.27887112333333,3.06644838333333,4.5093833925,3.28786823625,3.61383910041667,2.5957780405
SX3104125B_1_house,1.6249111175,0.953301116666667,0.916695541666667,0.902504333333333,0.314666666666667,0.901891333333333,0.947381683333333,2.2203184325,2.32009152666667,2.971210415,2.424226175,2.439887,3.72124704916666,2.46552353333333,2.43492096958333,3.776922545,3.14125554416667,3.16125531666667,3.17412112333333,1.86822121666667,2.47557023416667,1.294135275,1.92282977541667,1.86027468333333
SX3104125B_2_house,4.67287561833333,0.8555,1.29772804166667,0.649,1.209114275,0.629333333333334,1.20796089916667,1.35454335,2.71857219333333,2.76709539833333,2.20735778333333,2.18330155,2.82524386583333,2.87841879666667,2.19989965291667,2.8773411725,2.88560576083333,2.91023498333333,2.95035892333333,1.69769394166667,2.39228815,1.81746860833333,1.92599678375,1.976392175
SX3160107A_1_house,2.5275217675,1.25896778333333,0.629333333333334,1.217171,0.633833333333333,1.24545926666667,1.37259014916667,1.49881301666667,2.75790552666667,2.76475239833333,2.83529668041667,2.81580743333333,2.85940300791667,2.85875213,2.86996626125,2.25211643333333,4.270207655,3.01306831666667,3.05339625666666,1.778837775,2.53105250875,2.00571012791667,2.53034231666667,1.58838250833333
SX3160107A_2_house,1.028,0.9565,1.53319554166667,1.53183766666667,1.59534144166667,1.74897466666667,1.86275681583333,2.5237750825,2.59885493333333,3.20490939833333,3.27779668041667,3.29159721666667,3.28132450791667,3.29141879666667,3.32438292791667,3.38728583916667,3.52522735,4.25967198333334,3.62619225666667,2.48175444166667,3.98162050041667,3.24960388333333,2.79066310875,1.89855884166667
SX2785516B_1_house,1.976,1.6015,1.22825,1.042,0.9635,1.52097466666667,1.50425681583333,2.2061280825,3.02859152666667,3.20269184916667,3.94078607208333,2.65909133333333,3.9375812075,3.32091879666667,3.33031342791667,3.966530995,3.956391205,3.32331831666667,3.99882478,2.79407738333333,2.84380250875,2.89636823625,3.03541310875,3.2607780405
SX3141400A_1_house,2.86618843416667,1.54735016083333,1.50525338958333,1.53183766666667,1.55996244166667,1.67097466666667,1.83321501666667,2.5056168325,3.17011265333333,3.24169184916667,2.64985778333333,3.25830743333333,2.65692468333333,3.28907579666667,3.31138292791667,3.36000783916667,3.43666109416667,3.54081831666667,3.59848825666665,1.72375,3.87762050041667,3.29686823625,3.02833748333333,2.00255884166667
SX2897775C_1_house,1.20625,1.034,0.9595,0.944,1.52921244166667,1.58622466666667,2.3036288325,2.5059810825,3.20509152666667,3.24403484916667,3.27779668041667,3.29159721666667,3.30340300791667,3.3321902,3.334477825,3.977891995,3.38016109416667,4.15892198333333,3.55814625666667,2.96507738333333,3.08430250875,3.29817873625,3.20799160875,2.8149495405
